node_label,Country Code,Cluster,index,node_id,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Edu
Slovak Republic,SVK,C5,71,72,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
United Kingdom,GBR,C3,72,73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Tanzania,TZA,C4,73,74,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"Congo, Dem. Rep.",COD,C4,74,75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Virgin Islands (U.S.),VIR,C1,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic,KGZ,C2,76,77,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,9.28571
Hungary,HUN,C3,77,78,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,13,12.8095
Syrian Arab Republic,SYR,C2,78,79,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.57143
Spain,ESP,C5,79,80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Malaysia,MYS,C4,80,81,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4.85714
Paraguay,PRY,C3,81,82,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,13,13,13,13,13,13,10.7143
Moldova,MDA,C2,82,83,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,9.28571
Jamaica,JAM,C4,83,84,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Portugal,PRT,C3,84,85,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,10.5714
Cambodia,KHM,C1,85,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,C5,86,87,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,9.85714
Poland,POL,C2,87,88,0,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.28571
Cameroon,CMR,C4,88,89,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Mozambique,MOZ,C1,89,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,LSO,C4,90,91,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,3.33333
Italy,ITA,C3,91,92,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11.2381
Netherlands,NLD,C3,92,93,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
